Time Stamp (ms),qw,qx,qy,qz
10467,0.0639648,-0.455139,0.590576,-0.66333
10501,0.0318604,-0.422546,0.540466,-0.726868
10534,0.0252075,-0.392517,0.533813,-0.748535
10568,0.0359497,-0.400574,0.542175,-0.737793
10602,0.071167,-0.444702,0.559937,-0.695435
10634,0.103455,-0.433594,0.576721,-0.684631
10669,0.130859,-0.441284,0.575745,-0.67572
10703,0.140869,-0.460022,0.563171,-0.671875
10734,0.144592,-0.469482,0.568054,-0.660278
10770,0.151794,-0.47229,0.605652,-0.622192
10802,0.156006,-0.453979,0.630127,-0.610352
10836,0.151123,-0.431091,0.641602,-0.616211
10870,0.16272,-0.422607,0.615234,-0.645264
10903,0.168152,-0.423767,0.605042,-0.65271
10936,0.177795,-0.421021,0.601868,-0.654907
10970,0.194214,-0.411804,0.593689,-0.663513
11003,0.197083,-0.404297,0.587402,-0.672791
11037,0.179932,-0.429077,0.578125,-0.670288
11072,0.191162,-0.454956,0.554138,-0.670349
11105,0.184509,-0.463928,0.55603,-0.66449
11137,0.1651,-0.464783,0.570313,-0.65686
11172,0.162842,-0.472961,0.549194,-0.669495
11206,0.168579,-0.481018,0.500061,-0.700073
11239,0.164124,-0.490723,0.504883,-0.690857
11272,0.185486,-0.48877,0.521118,-0.674622
11306,0.198547,-0.489685,0.539978,-0.655151
11340,0.226379,-0.46582,0.544678,-0.659546
11373,0.24707,-0.422363,0.558838,-0.669556
11407,0.246887,-0.420044,0.589355,-0.644409
11440,0.246216,-0.411865,0.611267,-0.629395
11473,0.249084,-0.402283,0.609619,-0.635986
11508,0.248474,-0.394836,0.643982,-0.606323
11541,0.247498,-0.416077,0.638733,-0.598083
11574,0.255554,-0.431519,0.616577,-0.606873
11608,0.259949,-0.436096,0.633118,-0.58429
11642,0.267944,-0.470825,0.640564,-0.54425
11675,0.276978,-0.466553,0.642334,-0.541321
11708,0.271545,-0.474731,0.632019,-0.549072
11743,0.279358,-0.464905,0.645935,-0.537231
11775,0.273193,-0.486755,0.637146,-0.531494
11808,0.28186,-0.480225,0.642212,-0.526794
11844,0.311768,-0.460571,0.649109,-0.518982
11876,0.341431,-0.443359,0.629883,-0.538635
11910,0.332275,-0.455505,0.617737,-0.548218
11944,0.337952,-0.442261,0.628601,-0.543213
11977,0.323181,-0.419739,0.638611,-0.558167
12011,0.312439,-0.426575,0.621521,-0.578003
12045,0.302185,-0.438782,0.60498,-0.591736
12077,0.2948,-0.460999,0.589783,-0.593872
12112,0.298645,-0.479858,0.591797,-0.574768
12146,0.280273,-0.518433,0.584717,-0.557495
12180,0.282104,-0.513916,0.575684,-0.570007
12212,0.28595,-0.510254,0.565369,-0.581543
12246,0.285522,-0.512573,0.564758,-0.580322
12279,0.288879,-0.509094,0.569153,-0.577454
12313,0.297791,-0.493652,0.575928,-0.579651
12346,0.307922,-0.468079,0.577271,-0.593994
12380,0.297607,-0.468994,0.570068,-0.605408
12414,0.244568,-0.501709,0.52356,-0.643738
12447,0.20813,-0.512634,0.498962,-0.667053
12480,0.182129,-0.516907,0.527588,-0.649109
12514,0.184082,-0.514099,0.542542,-0.638306
12548,0.191711,-0.507568,0.547241,-0.637268
12581,0.183716,-0.50116,0.548767,-0.643372
12614,0.177795,-0.505798,0.545288,-0.644348
12651,0.191833,-0.475098,0.564087,-0.647522
12682,0.166687,-0.407898,0.537659,-0.718872
12716,0.135986,-0.409424,0.486145,-0.759949
12750,0.0961304,-0.415161,0.49231,-0.758972
12783,0.109802,-0.382629,0.472595,-0.786255
12816,0.113342,-0.320923,0.474121,-0.812012
12851,0.110046,-0.288269,0.48468,-0.818481
12884,0.122986,-0.26178,0.481018,-0.827637
12917,0.119263,-0.25647,0.460938,-0.841125
12951,0.0748901,-0.210693,0.416443,-0.881226
12985,0.0690918,-0.21698,0.387451,-0.893311
13018,0.0512085,-0.198975,0.375366,-0.903809
13053,0.0281982,-0.187866,0.364075,-0.911804
